"Reference","Value","Datasheet","Footprint","Qty","DNP","Mouser Number","Mouser Part Number"
"C1","C1","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1","","",""
"C2E1","C2E1","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1","","",""
"D1,D6","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2","","",""
"D2,D12","P6KE30CA","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2","","821-P6KE30CA ",""
"D3,D4,D5,D7,D8,D9,D10,D11","1.5KExxCA","https://www.vishay.com/docs/88301/15ke.pdf","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","8","","",""
"E2","E2","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1","","",""
"J1,J2","171857-0002","http://www.molex.com/webdocs/datasheets/pdf/en-us//1718570002_PCB_HEADERS.pdf","171857-0002","2","","538-171857-0002",""
"Q1","~","","Library:CM300DU-24NFH","1","","",""
"R1,R5","5.1","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","",""
"R2,R3","R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","DNP","",""
